"a-size-base",a-link-normal href,"a-link-normal href 2","a-size-base 2","a-link-normal href 3","a-size-base 3","a-link-normal href 4","a-size-base 4","a-link-normal href 5","a-size-base 5"
"Up to 3.9 in","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_six_browse-bin%3A6631752031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=6631751031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_six_browse-bin_1&ds=v1%3AiNJivaRSHr7p14OiFoFwmJoXfQiFTrDwh7L4Rc88uOs","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_six_browse-bin%3A6631753031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=6631751031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_six_browse-bin_2&ds=v1%3AsSUn32cZ2Vs8BuY%2B67yb1tdpw3keAcJhEKC9gAu%2FS%2Bk","4 to 4.4 in","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_six_browse-bin%3A6631754031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=6631751031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_six_browse-bin_3&ds=v1%3AVaEa38R6g0htsCsWgg9XsewGkOrB1t0LhZxnLVbpHpE","4.5 to 4.9 in","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_six_browse-bin%3A6631755031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=6631751031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_six_browse-bin_4&ds=v1%3AX%2Fw2BDKMVglXfzHZF2e9qKEzYXaOfkuyG6JvvFTG1NA","5 to 5.4 in","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_six_browse-bin%3A6631756031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=6631751031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_six_browse-bin_5&ds=v1%3AOkXNMnc32EbcyjycB6VLLUC%2FNIeVFOhAh%2FiFf7yM39s","5.5 in & above"
"Processor Speed","","","","","","","","",""
"Less Than 0.99 GHz","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nine_browse-bin%3A8561128031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561123031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nine_browse-bin_1&ds=v1%3Ail2RREOl9JFXu7SePEOweAYXcKoeLtwh%2F407Z20bsPs","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nine_browse-bin%3A8561124031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561123031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nine_browse-bin_2&ds=v1%3AZMcdwXhqcaXAFLvwaVm5wCC8JNZmtGTWzjCy%2FEz%2FK4U","1 - 1.49 GHz","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nine_browse-bin%3A8561125031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561123031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nine_browse-bin_3&ds=v1%3AiTXWvxD9mi4V4d1NCbF37Dj5rs3uPhdYftyMHdqMPNg","1.5 - 1.99 GHz","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nine_browse-bin%3A8561126031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561123031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nine_browse-bin_4&ds=v1%3ADvmyixfw4kx2a1HCl0FVV0KVQWJkQkeh58p0IdhKNt0","2 - 2.4 GHz","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nine_browse-bin%3A8561127031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561123031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nine_browse-bin_5&ds=v1%3Afl9W979yFdcincGCsUifk0%2FnXtFfjpo68sfH3qzedPw","2.5 GHz & Above"
"Colour","","","","","","","","",""
"Form Factor","","","","","","","","",""
"Bar","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-three_browse-bin%3A28161950031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=28161949031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-three_browse-bin_1&ds=v1%3AQ84ytT7c4DFWqfbXDDOFUj3CezG4xM7tFB%2BOKxYGsBA","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-three_browse-bin%3A28161951031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=28161949031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-three_browse-bin_2&ds=v1%3AuYxzLnYozIwi2YnV84%2F%2Fhi1cIsbhpiLncKFegbWklnE","Foldable Case","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-three_browse-bin%3A28161952031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=28161949031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-three_browse-bin_3&ds=v1%3AOPuUk%2Fwqp9EhRH169bSiqjm%2F7o1wOX8wRal%2B0qPVr5s","Foldable Screen","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-three_browse-bin%3A28161953031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=28161949031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-three_browse-bin_4&ds=v1%3AEZUbzvTkU804dr7D3JJrFNGk65ipTsla26Y%2B6a727aM","Slate","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-three_browse-bin%3A28161954031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=28161949031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-three_browse-bin_5&ds=v1%3ANNZ6b68YHP2xLxQwSX4FxBWbydrOsnEAd%2BNBy7P0AyE","Slider"
"Battery Capacity","","","","","","","","",""
"Less Than 999 mAh","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirteen_browse-bin%3A8561103031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561098031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirteen_browse-bin_1&ds=v1%3AA6P3g6JEzkbA3mfIz%2FYT7UW0bO0J2T2%2FMLXCKSgMV0k","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirteen_browse-bin%3A8561099031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561098031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirteen_browse-bin_2&ds=v1%3AOx%2BPK2Hz07Ixrwe7m30GXAg7%2B49LNycIwtrMaAF8qKU","1000 - 1999 mAh","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirteen_browse-bin%3A8561100031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561098031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirteen_browse-bin_3&ds=v1%3A%2BySmhAhIOVNkuBVa7m61ZliuslTK0sf35GbLczqY1kQ","2000 - 2999 mAh","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirteen_browse-bin%3A8561101031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561098031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirteen_browse-bin_4&ds=v1%3AZf7sTKVa0gbkzava%2FDWhJUpcRH%2BuoFgB1ziEvBkvOBk","3000 - 3999 mAh","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirteen_browse-bin%3A8561102031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561098031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirteen_browse-bin_5&ds=v1%3AGEHBmrUmljQ8tsUymXe4pOquNxajemTM%2F3%2Fi7CBFpig","4000 mAh & More"
"Sim Card Size","","","","","","","","",""
"Nano","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twelve_browse-bin%3A27179455031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27179438031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twelve_browse-bin_1&ds=v1%3Ai%2Fqq%2FVWxDIjUdNkQm%2BnK108BTHp4663Vr3L0HOqfnyg","","","","","","","",""
"Mobile Phone Connectivity Technology","","","","","","","","",""
"Bluetooth","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty_browse-bin%3A27363277031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27363274031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty_browse-bin_1&ds=v1%3ABzSToY7iom56gCrpRs2B1KVsBj%2FdISX5TIAByc0440g","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty_browse-bin%3A27363275031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27363274031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty_browse-bin_2&ds=v1%3AZJATNEpfNZvtX0zAGkEd515v2GMQRwfJlnxJb0Myv%2F8","Infrared","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty_browse-bin%3A27363279031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27363274031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty_browse-bin_3&ds=v1%3AOPjyEVE4jTg2u0p7XttIaNm%2F9vcbhAo6UIZQVyvjXBM","NFC","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty_browse-bin%3A27363276031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27363274031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty_browse-bin_4&ds=v1%3AqNaReiemhGrr46gVL208PDtqpI9HJExWPOyWsUCb9Lg","USB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty_browse-bin%3A27363278031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27363274031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty_browse-bin_5&ds=v1%3AQxrEXrSYd7HyKa3n2T2TXt6CEHgPfg%2FjXm%2BB9P%2FC9t8","Wi-Fi"
"Display Type","","","","","","","","",""
"AMOLED","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-four_browse-bin%3A66009619031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=66009617031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-four_browse-bin_1&ds=v1%3Asa6mGeI0tNC8K48tAWtY3vWw7ZQD6rUasHSzU4RkhHA","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-four_browse-bin%3A66009618031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=66009617031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-four_browse-bin_2&ds=v1%3APbtdEyg%2FW7SNZtjyuM0UEiQTkHNr44S%2FOF0fpXvYgqc","LCD","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-four_browse-bin%3A66009620031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=66009617031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-four_browse-bin_3&ds=v1%3AbTQpe2ZUqIuMxpfBGo1IjO7IvOdKuYxgFTlK7cAcWhc","OLED","","","",""
"Included Components","","","","","","","","",""
"Phone Case","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-three_browse-bin%3A66008623031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=66008593031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-three_browse-bin_1&ds=v1%3Am%2Bl6qmEz2kuxIg9b47a%2F1A3l430jocP8NeQwnp25P%2BI","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-three_browse-bin%3A66008624031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=66008593031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-three_browse-bin_2&ds=v1%3AUbq2WCPPH53FRRAPyvFiuE%2BdCTZwrPg%2FV2o02WuW%2BHo","Power Adapter","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-three_browse-bin%3A66008617031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=66008593031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-three_browse-bin_3&ds=v1%3AqG84WgrkeONut2g5ZOL4Nyc7WvH640gTxcuMKdgG7MY","SIM Tray Ejector","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-three_browse-bin%3A66008618031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=66008593031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-three_browse-bin_4&ds=v1%3Aad43KhV4Bark2NEyeaAzKgt3INKkZlM2meUk6ocLeNQ","USB Cable","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-three_browse-bin%3A66008622031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=66008593031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-three_browse-bin_5&ds=v1%3Ac28j78ixFN4RNj8biyxgiedeDaDGoC0G3G7swoM0tIY","Screen Protector"
"Mobile Phone Shooting Modes","","","","","","","","",""
"Aperture Priority","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_sixteen_browse-bin%3A27316763031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27316761031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_sixteen_browse-bin_1&ds=v1%3AhBeFd1M%2FbJNf0HCW4M8zFiqvAG9RG7hungpBxzn8j3k","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_sixteen_browse-bin%3A27316764031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27316761031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_sixteen_browse-bin_2&ds=v1%3A1tzgueUzdnyGSw3t%2BAmRHHgs4zk8XNx5AR%2FkXyAtgks","Automatic","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_sixteen_browse-bin%3A27316767031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27316761031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_sixteen_browse-bin_3&ds=v1%3A62U1Aids2cDfMRT4BCHSUoaeGj21sdlaPbG5OD7lZRE","High Dynamic Range","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_sixteen_browse-bin%3A27316769031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27316761031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_sixteen_browse-bin_4&ds=v1%3APRUtQSSrAvuA6tpUE%2FHw1hFVGcEOoGBgd9lwu4HczRo","Macro","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_sixteen_browse-bin%3A27316772031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27316761031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_sixteen_browse-bin_5&ds=v1%3A9hSi1Q7dpdytPdV2NI4j5F7vKnDKf%2FStTYZ1hpRdjK4","Manual"
"Front Photo Sensor Resolution","","","","","","","","",""
"Up to 6.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-two_browse-bin%3A61505203031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=61505195031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-two_browse-bin_1&ds=v1%3Ae36ZTQkaYw4btLzvP4%2FQ0pdUVIMZfL4EpA1a%2FIVl49g","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-two_browse-bin%3A61505201031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=61505195031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-two_browse-bin_2&ds=v1%3AWjAtNVmjtXrfhBFRd541%2Bx1WNgOKHO8SMD1UDpdDD1g","7.0 to 9.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-two_browse-bin%3A61505199031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=61505195031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-two_browse-bin_3&ds=v1%3A0v1vAMDJB54xyzqTE4a%2BcTU5WveZRwoCCONwWN3PuYE","10.0 to 12.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-two_browse-bin%3A61505197031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=61505195031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-two_browse-bin_4&ds=v1%3AXnGDs%2F7umhJb%2BwZO9kmcMosbQfh%2Bj4DYDh5l9gmYrF0","13.0 MP & above","",""
"Mobile Phone Biometric Security Feature","","","","","","","","",""
"Face Recognition","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_eighteen_browse-bin%3A27355807031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27355796031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_eighteen_browse-bin_1&ds=v1%3AoosLQSkJLSy4MH2sByAP1x2aX9L42XpowI5ODEPP09g","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_eighteen_browse-bin%3A27355812031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27355796031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_eighteen_browse-bin_2&ds=v1%3AymOOtNi%2BOUK7ctATjlprXqQ0iOGzEAtSPemdz4ZSvEA","Fingerprint Recognition","","","","","",""
"Refresh Rate","","","","","","","","",""
"Up to 88 Hz","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-eight_browse-bin%3A56163446031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=56162597031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-eight_browse-bin_1&ds=v1%3Akxf16sYMwkGhR%2FhC1qy5IXoEd%2BlPiMw68O5jJE%2FXEjI","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-eight_browse-bin%3A56163444031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=56162597031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-eight_browse-bin_2&ds=v1%3A%2F8ClXFoxPJQ7Ro%2BRblpktfFpUrGSZbkfQav1%2Bk945qc","89 to 104 Hz","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-eight_browse-bin%3A56163447031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=56162597031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-eight_browse-bin_3&ds=v1%3ASku%2BGCk2xMjx5XGZ7sgJ7ogPJsvC01s2ETEPpDfWyH8","105 to 120 Hz","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-eight_browse-bin%3A56163445031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=56162597031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-eight_browse-bin_4&ds=v1%3Asv%2Bn5QMhnXtvHfkYseZSeLJykN%2BN%2FnrGlumBkA3nuYE","121 Hz & above","",""
"Mobile Phone Primary Camera Resolution","","","","","","","","",""
